Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
12/20/2012,3.48,3.53,3.46,3.48,3.48,102000,5,Thursday
12/21/2012,3.44,3.44,3.36,3.41,3.41,199800,6,Friday
12/24/2012,3.38,3.41,3.33,3.36,3.36,87000,2,Monday
12/26/2012,3.35,3.47,3.34,3.38,3.38,110500,4,Wednesday
12/27/2012,3.35,3.38,3.24,3.3,3.3,268700,5,Thursday
12/28/2012,3.26,3.3,3.15,3.2,3.2,217400,6,Friday
12/31/2012,3.11,3.2,3.08,3.16,3.16,336500,2,Monday
1/2/2013,3.26,3.41,3.26,3.33,3.33,255800,4,Wednesday
1/3/2013,3.3,3.38,3.27,3.31,3.31,128700,5,Thursday
1/4/2013,3.32,3.54,3.28,3.54,3.54,146300,6,Friday
1/7/2013,3.54,3.99,3.48,3.98,3.98,364200,2,Monday
1/8/2013,3.99,4,3.83,3.9,3.9,126600,3,Tuesday
1/9/2013,3.93,3.93,3.67,3.9,3.9,179200,4,Wednesday
1/10/2013,3.95,4.25,3.9,4.1,4.1,608100,5,Thursday
1/11/2013,4.14,4.26,3.9,3.95,3.95,280200,6,Friday
1/14/2013,3.98,4.13,3.93,3.99,3.99,171700,2,Monday
1/15/2013,3.96,4.12,3.91,4.02,4.02,150300,3,Tuesday
1/16/2013,4.04,4.05,3.87,3.93,3.93,171000,4,Wednesday
1/17/2013,3.93,4.04,3.92,3.97,3.97,216100,5,Thursday
1/18/2013,4.06,4.14,3.98,4.03,4.03,232700,6,Friday
1/22/2013,4.02,4.03,3.83,3.88,3.88,207100,3,Tuesday
1/23/2013,3.87,3.87,3.67,3.73,3.73,115000,4,Wednesday
1/24/2013,3.77,3.94,3.71,3.86,3.86,484300,5,Thursday
1/25/2013,3.83,3.88,3.71,3.78,3.78,168800,6,Friday
1/28/2013,3.75,3.85,3.65,3.72,3.72,204400,2,Monday
1/29/2013,3.7,3.8,3.56,3.64,3.64,216300,3,Tuesday
1/30/2013,3.74,3.76,3.6,3.64,3.64,173700,4,Wednesday
1/31/2013,3.6,3.63,3.49,3.53,3.53,196500,5,Thursday
2/1/2013,3.61,3.64,3.55,3.61,3.61,119900,6,Friday
2/4/2013,3.6,3.6,3.5,3.51,3.51,158100,2,Monday
2/5/2013,3.55,3.59,3.51,3.55,3.55,109100,3,Tuesday
2/6/2013,3.54,3.57,3.5,3.54,3.54,133800,4,Wednesday
2/7/2013,3.58,3.62,3.55,3.6,3.6,269800,5,Thursday
2/8/2013,3.61,3.72,3.61,3.72,3.72,268600,6,Friday
2/11/2013,3.74,3.78,3.7,3.72,3.72,242000,2,Monday
2/12/2013,3.75,3.75,3.62,3.64,3.64,265500,3,Tuesday
2/13/2013,3.67,3.67,3.5,3.5,3.5,225700,4,Wednesday
2/14/2013,3.54,3.55,3.5,3.55,3.55,199100,5,Thursday
2/15/2013,3.56,3.57,3.5,3.5,3.5,255200,6,Friday
2/19/2013,3.5,3.51,3.42,3.44,3.44,271000,3,Tuesday
2/20/2013,3.41,3.46,3.26,3.32,3.32,596200,4,Wednesday
2/21/2013,3.25,3.35,3.2,3.25,3.25,361500,5,Thursday
2/22/2013,3.25,3.25,3.2,3.21,3.21,139800,6,Friday
2/25/2013,3.27,3.33,3.16,3.19,3.19,195800,2,Monday
2/26/2013,3.25,3.27,3.19,3.25,3.25,175500,3,Tuesday
2/27/2013,3.26,3.35,3.22,3.27,3.27,156400,4,Wednesday
